feature,importance
color,0.19611411
longitude,0.10006388
sampling_time,0.09451288
visibility_effluent_discharge,0.07185806
bod,0.05793207
flow,0.05709732
latitude,0.05458854
approx_depth,0.05248757
amonia_n,0.041747265
calcium_caco3,0.03393504
phenophelene_alkanity,0.023173016
human_activities,0.022191979
magnesium_caco3,0.016375674
sulphate,0.015584181
sodium,0.014285224
nitrate_n,0.013697845
total_alkalinity,0.01014385
hardness_caco3,0.009464936
weather,0.00936663
floating_matter,0.008563498
phosphate,0.008394011
ph,0.008327742
flouride,0.008157725
name_of_water_body,0.0075918003
district,0.0074154222
potassium,0.0072566234
sampling_date_month,0.006749383
turbidity,0.006381418
stn_name,0.006139984
chlorides,0.005826303
major_polluting_sources,0.004987317
temperature,0.004615967
fecal_streptococci,0.004270072
total_suspended_solids,0.0042072567
stn_code,0.00303384
total_fixed_solids,0.0021875838
conductivity,0.0007650519
total_kjeldahl_n,0.00050891127
river_basin,0.0
type_water_body,0.0
dissolved_o2,0.0
odor,0.0
total_coliform,0.0
fecal_coliform,0.0
cod,0.0
total_dissolved_solids,0.0
boron,0.0
major_polluting_sources_missing,0.0
visibility_effluent_discharge_missing,0.0
sampling_date_month_name,0.0
sampling_datetime_month,0.0
sampling_datetime_month_name,0.0
